Date_Time (LST/LDT), Event, Speed (knots)
2/28/17 6:47, slack,-
2/28/17 9:19, ebb,-0.3
2/28/17 12:26, slack,-
2/28/17 15:53, flood,0.6
2/28/17 18:47, slack,-
2/28/17 21:25, ebb,-0.3
3/1/17 0:20, slack,-
3/1/17 4:11, flood,0.7
3/1/17 7:23, slack,-
3/1/17 9:55, ebb,-0.3
3/1/17 13:08, slack,-
3/1/17 16:47, flood,0.6
3/1/17 19:41, slack,-
3/1/17 22:13, ebb,-0.3
3/2/17 1:08, slack,-
3/2/17 4:59, flood,0.6
3/2/17 7:53, slack,-
3/2/17 10:43, ebb,-0.3
3/2/17 13:56, slack,-
3/2/17 17:35, flood,0.6
3/2/17 20:47, slack,-
3/2/17 23:13, ebb,-0.2
3/3/17 2:08, slack,-
3/3/17 5:47, flood,0.5
3/3/17 8:35, slack,-
3/3/17 11:37, ebb,-0.3
3/3/17 14:56, slack,-
3/3/17 18:35, flood,0.6
3/3/17 22:05, slack,-
3/4/17 0:25, ebb,-0.2
3/4/17 3:20, slack,-
3/4/17 6:41, flood,0.4
3/4/17 9:23, slack,-
3/4/17 12:37, ebb,-0.3
3/4/17 15:56, slack,-
3/4/17 19:41, flood,0.6
3/4/17 23:35, slack,-
3/5/17 1:43, ebb,-0.2
3/5/17 4:38, slack,-
3/5/17 7:41, flood,0.3
3/5/17 10:17, slack,-
3/5/17 13:43, ebb,-0.3
3/5/17 16:56, slack,-
3/5/17 20:53, flood,0.6
3/6/17 0:53, slack,-
3/6/17 3:07, ebb,-0.2
3/6/17 6:02, slack,-
3/6/17 8:59, flood,0.3
3/6/17 11:29, slack,-
3/6/17 14:49, ebb,-0.3
3/6/17 18:02, slack,-
3/6/17 22:17, flood,0.7
3/7/17 1:59, slack,-
3/7/17 4:19, ebb,-0.2
3/7/17 7:20, slack,-
3/7/17 10:17, flood,0.3
3/7/17 12:47, slack,-
3/7/17 15:49, ebb,-0.3
3/7/17 19:08, slack,-
3/7/17 23:17, flood,0.7
3/8/17 2:53, slack,-
3/8/17 5:25, ebb,-0.2
3/8/17 8:20, slack,-
3/8/17 11:23, flood,0.3
3/8/17 13:53, slack,-
3/8/17 16:55, ebb,-0.3
3/8/17 20:02, slack,-
3/9/17 0:11, flood,0.8
3/9/17 3:41, slack,-
3/9/17 6:19, ebb,-0.3
3/9/17 9:08, slack,-
3/9/17 12:17, flood,0.4
3/9/17 14:53, slack,-
3/9/17 17:55, ebb,-0.3
3/9/17 20:56, slack,-
3/10/17 0:53, flood,0.8
3/10/17 4:23, slack,-
3/10/17 7:07, ebb,-0.3
3/10/17 9:50, slack,-
3/10/17 13:05, flood,0.4
3/10/17 15:47, slack,-
3/10/17 18:43, ebb,-0.3
3/10/17 21:44, slack,-
3/11/17 1:29, flood,0.8
3/11/17 5:05, slack,-
3/11/17 7:43, ebb,-0.3
3/11/17 10:32, slack,-
3/11/17 13:47, flood,0.5
3/11/17 16:41, slack,-
3/11/17 19:25, ebb,-0.3
3/11/17 22:26, slack,-
3/12/17 2:11, flood,0.7
3/12/17 6:35, slack,-
3/12/17 9:13, ebb,-0.3
3/12/17 12:08, slack,-
3/12/17 15:29, flood,0.5
3/12/17 18:29, slack,-
3/12/17 21:07, ebb,-0.3
3/13/17 0:02, slack,-
3/13/17 3:47, flood,0.7
3/13/17 7:05, slack,-
3/13/17 9:37, ebb,-0.3
3/13/17 12:44, slack,-
3/13/17 16:11, flood,0.5
3/13/17 19:11, slack,-
3/13/17 21:43, ebb,-0.3
3/14/17 0:44, slack,-
3/14/17 4:23, flood,0.6
3/14/17 7:35, slack,-
3/14/17 10:07, ebb,-0.3
3/14/17 13:20, slack,-
3/14/17 16:47, flood,0.5
3/14/17 19:59, slack,-
3/14/17 22:19, ebb,-0.3
3/15/17 1:20, slack,-
3/15/17 4:59, flood,0.5
3/15/17 8:05, slack,-
3/15/17 10:37, ebb,-0.3
3/15/17 13:56, slack,-
3/15/17 17:29, flood,0.5
3/15/17 20:41, slack,-
3/15/17 23:01, ebb,-0.2
3/16/17 2:02, slack,-
3/16/17 5:35, flood,0.4
3/16/17 8:29, slack,-
3/16/17 11:13, ebb,-0.3
3/16/17 14:32, slack,-
3/16/17 18:11, flood,0.5
3/16/17 21:29, slack,-
3/16/17 23:43, ebb,-0.2
3/17/17 2:50, slack,-
3/17/17 6:17, flood,0.4
3/17/17 8:59, slack,-
3/17/17 11:49, ebb,-0.2
3/17/17 15:14, slack,-
3/17/17 18:59, flood,0.5
3/17/17 22:29, slack,-
3/18/17 0:43, ebb,-0.1
3/18/17 3:50, slack,-
3/18/17 6:59, flood,0.3
3/18/17 9:29, slack,-
3/18/17 12:37, ebb,-0.2
3/18/17 16:02, slack,-
3/18/17 19:47, flood,0.5
3/18/17 23:41, slack,-
3/19/17 1:49, ebb,-0.1
3/19/17 4:56, slack,-
3/19/17 7:47, flood,0.2
3/19/17 10:05, slack,-
3/19/17 13:37, ebb,-0.2
3/19/17 16:56, slack,-
3/19/17 20:41, flood,0.4
3/20/17 0:53, slack,-
3/20/17 3:07, ebb,-0.1
3/20/17 6:08, slack,-
3/20/17 8:47, flood,0.2
3/20/17 11:05, slack,-
3/20/17 14:37, ebb,-0.2
3/20/17 17:56, slack,-
3/20/17 21:53, flood,0.5
3/21/17 1:59, slack,-
3/21/17 4:13, ebb,-0.1
3/21/17 7:26, slack,-
3/21/17 10:05, flood,0.1
3/21/17 12:23, slack,-
3/21/17 15:43, ebb,-0.2
3/21/17 18:56, slack,-
3/21/17 22:59, flood,0.5
3/22/17 2:53, slack,-
3/22/17 5:13, ebb,-0.2
3/22/17 8:26, slack,-
3/22/17 11:17, flood,0.2
3/22/17 13:41, slack,-
3/22/17 16:37, ebb,-0.2
3/22/17 19:50, slack,-
3/22/17 23:59, flood,0.6
3/23/17 3:35, slack,-
3/23/17 6:01, ebb,-0.2
3/23/17 9:14, slack,-
3/23/17 12:11, flood,0.3
3/23/17 14:41, slack,-
3/23/17 17:31, ebb,-0.2
3/23/17 20:44, slack,-
3/24/17 0:41, flood,0.6
3/24/17 4:11, slack,-
3/24/17 6:43, ebb,-0.2
3/24/17 9:50, slack,-
3/24/17 12:53, flood,0.4
3/24/17 15:35, slack,-
3/24/17 18:25, ebb,-0.3
3/24/17 21:32, slack,-
3/25/17 1:23, flood,0.7
3/25/17 4:47, slack,-
3/25/17 7:25, ebb,-0.3
3/25/17 10:26, slack,-
3/25/17 13:35, flood,0.5
3/25/17 16:23, slack,-
3/25/17 19:13, ebb,-0.3
3/25/17 22:14, slack,-
3/26/17 1:59, flood,0.7
3/26/17 5:23, slack,-
3/26/17 7:55, ebb,-0.3
3/26/17 10:56, slack,-
3/26/17 14:17, flood,0.6
3/26/17 17:17, slack,-
3/26/17 20:01, ebb,-0.3
3/26/17 22:56, slack,-
3/27/17 2:35, flood,0.7
3/27/17 5:53, slack,-
3/27/17 8:31, ebb,-0.3
3/27/17 11:32, slack,-
3/27/17 14:59, flood,0.6
3/27/17 18:05, slack,-
3/27/17 20:43, ebb,-0.3
3/27/17 23:38, slack,-
3/28/17 3:17, flood,0.7
3/28/17 6:29, slack,-
3/28/17 9:07, ebb,-0.4
3/28/17 12:08, slack,-
3/28/17 15:47, flood,0.7
3/28/17 18:59, slack,-
3/28/17 21:31, ebb,-0.3
3/29/17 0:26, slack,-
3/29/17 3:59, flood,0.7
3/29/17 7:05, slack,-
3/29/17 9:49, ebb,-0.4
3/29/17 12:50, slack,-
3/29/17 16:35, flood,0.7
3/29/17 19:53, slack,-
3/29/17 22:19, ebb,-0.3
3/30/17 1:14, slack,-
3/30/17 4:47, flood,0.6
3/30/17 7:41, slack,-
3/30/17 10:25, ebb,-0.4
3/30/17 13:32, slack,-
3/30/17 17:29, flood,0.8
3/30/17 20:47, slack,-
3/30/17 23:07, ebb,-0.3
3/31/17 2:14, slack,-
3/31/17 5:35, flood,0.5
3/31/17 8:17, slack,-
3/31/17 11:13, ebb,-0.4
3/31/17 14:20, slack,-
3/31/17 18:17, flood,0.8
3/31/17 21:53, slack,-
4/1/17 0:07, ebb,-0.2
4/1/17 3:20, slack,-
4/1/17 6:29, flood,0.4
4/1/17 8:59, slack,-
4/1/17 12:01, ebb,-0.3
4/1/17 15:20, slack,-
4/1/17 19:17, flood,0.7
4/1/17 23:05, slack,-
4/2/17 1:19, ebb,-0.2
4/2/17 4:32, slack,-
4/2/17 7:29, flood,0.3
4/2/17 9:47, slack,-
4/2/17 13:07, ebb,-0.3
4/2/17 16:20, slack,-
4/2/17 20:17, flood,0.7
4/3/17 0:17, slack,-
4/3/17 2:43, ebb,-0.2
4/3/17 5:50, slack,-
4/3/17 8:35, flood,0.2
4/3/17 10:59, slack,-
4/3/17 14:19, ebb,-0.3
4/3/17 17:26, slack,-
4/3/17 21:29, flood,0.7
4/4/17 1:29, slack,-
4/4/17 4:01, ebb,-0.2
4/4/17 7:08, slack,-
4/4/17 9:53, flood,0.2
4/4/17 12:23, slack,-
4/4/17 15:31, ebb,-0.3
4/4/17 18:38, slack,-
4/4/17 22:47, flood,0.6
4/5/17 2:29, slack,-
4/5/17 5:07, ebb,-0.2
4/5/17 8:14, slack,-
4/5/17 11:23, flood,0.3
4/5/17 13:47, slack,-
4/5/17 16:43, ebb,-0.3
4/5/17 19:44, slack,-
4/5/17 23:53, flood,0.7
4/6/17 3:17, slack,-
4/6/17 6:07, ebb,-0.3
4/6/17 9:08, slack,-
4/6/17 12:23, flood,0.4
4/6/17 14:59, slack,-
4/6/17 17:43, ebb,-0.3
4/6/17 20:44, slack,-
4/7/17 0:47, flood,0.7
4/7/17 4:05, slack,-
4/7/17 6:49, ebb,-0.3
4/7/17 9:50, slack,-
4/7/17 13:17, flood,0.4
4/7/17 15:59, slack,-
4/7/17 18:49, ebb,-0.3
4/7/17 21:38, slack,-
4/8/17 1:29, flood,0.7
4/8/17 4:41, slack,-
4/8/17 7:31, ebb,-0.3
4/8/17 10:26, slack,-
4/8/17 13:53, flood,0.5
4/8/17 16:53, slack,-
4/8/17 19:37, ebb,-0.3
4/8/17 22:26, slack,-
4/9/17 2:05, flood,0.6
4/9/17 5:17, slack,-
4/9/17 8:07, ebb,-0.3
4/9/17 11:02, slack,-
4/9/17 14:35, flood,0.6
4/9/17 17:41, slack,-
4/9/17 20:19, ebb,-0.3
4/9/17 23:08, slack,-
4/10/17 2:35, flood,0.6
4/10/17 5:47, slack,-
4/10/17 8:37, ebb,-0.3
4/10/17 11:32, slack,-
4/10/17 15:05, flood,0.6
4/10/17 18:29, slack,-
4/10/17 20:55, ebb,-0.3
4/10/17 23:44, slack,-
4/11/17 3:11, flood,0.5
4/11/17 6:17, slack,-
4/11/17 9:01, ebb,-0.3
4/11/17 12:08, slack,-
4/11/17 15:41, flood,0.6
4/11/17 19:11, slack,-
4/11/17 21:31, ebb,-0.3
4/12/17 0:26, slack,-
4/12/17 3:47, flood,0.5
4/12/17 6:41, slack,-
4/12/17 9:31, ebb,-0.3
4/12/17 12:38, slack,-
4/12/17 16:23, flood,0.6
4/12/17 19:53, slack,-
4/12/17 22:07, ebb,-0.2
4/13/17 1:08, slack,-
4/13/17 4:23, flood,0.4
4/13/17 7:05, slack,-
4/13/17 10:01, ebb,-0.3
4/13/17 13:08, slack,-
4/13/17 16:59, flood,0.6
4/13/17 20:35, slack,-
4/13/17 22:43, ebb,-0.2
4/14/17 1:50, slack,-
4/14/17 5:05, flood,0.3
4/14/17 7:35, slack,-
4/14/17 10:31, ebb,-0.3
4/14/17 13:44, slack,-
4/14/17 17:41, flood,0.6
4/14/17 21:17, slack,-
4/14/17 23:25, ebb,-0.2
4/15/17 2:44, slack,-
4/15/17 5:47, flood,0.3
4/15/17 7:59, slack,-
4/15/17 11:07, ebb,-0.3
4/15/17 14:20, slack,-
4/15/17 18:23, flood,0.6
4/15/17 22:05, slack,-
4/16/17 0:19, ebb,-0.2
4/16/17 3:44, slack,-
4/16/17 6:29, flood,0.2
4/16/17 8:29, slack,-
4/16/17 11:49, ebb,-0.2
4/16/17 15:02, slack,-
4/16/17 19:11, flood,0.6
4/16/17 23:05, slack,-
4/17/17 1:19, ebb,-0.1
4/17/17 4:50, slack,-
4/17/17 7:23, flood,0.2
4/17/17 9:11, slack,-
4/17/17 12:43, ebb,-0.2
4/17/17 15:56, slack,-
4/17/17 19:59, flood,0.5
4/18/17 0:05, slack,-
4/18/17 2:31, ebb,-0.2
4/18/17 5:56, slack,-
4/18/17 8:17, flood,0.1
4/18/17 10:11, slack,-
4/18/17 13:49, ebb,-0.2
4/18/17 16:50, slack,-
4/18/17 20:59, flood,0.5
4/19/17 1:05, slack,-
4/19/17 3:31, ebb,-0.2
4/19/17 7:02, slack,-
4/19/17 9:29, flood,0.1
4/19/17 11:41, slack,-
4/19/17 15:01, ebb,-0.2
4/19/17 17:50, slack,-
4/19/17 22:05, flood,0.5
4/20/17 1:53, slack,-
4/20/17 4:25, ebb,-0.2
